temperatureHigh,temperatureLow,humidity,precipIntensityMax,precipProbability,windSpeed,cloudCover
25.09,36.97,231,30.1,1529307000,0.45,1529307000
24.09,28.47,147,26.11,1529375400,0.64,1529386200
23.09,26.11,217,25.09,1529487000,0.71,1529472600
23.09,28.01,2,26.11,1529566200,0.75,1529559000
23.09,29.28,174,26.6,1529652600,0.75,1529645400
24.09,28.23,141,26.11,1529739000,0.75,1529731800
23.09,31.53,137,27.09,1529821800,0.75,1529818200
22.11,32.95,183,28.61,1529915400,0.74,1529904600
23.09,28.23,156,26.11,1529998200,0.75,1529991000
23.09,28.23,279,26.11,1530099000,0.75,1530077400
23.09,26.11,148,25.09,1530178200,0.75,1530163800
23.09,26.03,142,25.09,1530257400,0.75,1530250200
24.09,32.95,148,28.61,1530347400,0.72,1530336600
24.09,33.75,170,29.11,1530437400,0.66,1530423000
23.09,32.96,352,28.61,1530523800,0.65,1530509400
24.09,34.51,234,29.6,1530599400,0.63,1530595800
25.09,33.97,256,28.61,1530693000,0.7,1530682200
23.09,34.72,254,29.11,1530768600,0.4,1530772200
24.09,26.45,11,25.6,1530847800,0.75,1530855000
24.09,26.11,329,25.1,1530927000,0.91,1530945000
25.09,33.97,306,28.11,1531031400,0.83,1531027800
25.09,34.72,282,29.11,1531125000,0.75,1531114200
25.09,34.72,280,29.11,1531207800,0.75,1531200600
24.09,33.36,275,28.1,1531283400,0.75,1531287000
23.59,32.5,270,28.11,1531391400,0.75,1531373400
24.09,29.28,274,26.6,1531470600,0.75,1531459800
25.6,32.91,273,28.11,1531557000,0.75,1531546200
24.59,34.72,282,29.11,1531636200,0.72,1531632600
24.59,33.38,275,28.61,1531737000,0.74,1531719000
24.59,34.72,264,29.11,1531819800,0.74,1531809000
24.09,31.22,300,27.6,1531891800,0.75,1531891800
23.04,32.91,279,28.11,1531978200,0.75,1531978200
28.34,23.05,4.02,26.06,1532079000,23.04,26.06
26.47,24.1,5.89,25.55,1532273400,25.55,29.06
25.04,32.03,278,28.06,1532338200,0.65,1532323800
24.04,33.29,283,28.56,1532417400,0.75,1532410200
24.54,32.39,287,28.04,1532500200,0.75,1532496600
26.06,32.87,286,28.56,1532597400,0.53,1532586600
26.06,33.67,265,29.06,1532673000,0.57,1532673000
26.06,34.63,264,29.06,1532763000,0.65,1532755800
26.06,34.13,281,29.06,1532845800,0.64,1532849400
26.06,32.81,263,28.06,1532935800,0.7,1532935800
25.04,33.67,260,29.06,1533022200,0.61,1533025800
24.04,33.67,261,29.06,1533115800,0.69,1533101400
24.04,33.29,282,28.56,1533191400,0.66,1533195000
24.04,33.67,288,29.06,1533281400,0.72,1533285000
25.55,32.03,278,28.06,1533367800,0.68,1533360600
26.06,33.67,279,29.06,1533457800,0.6,1533447000
24.04,32.82,276,29.06,1533544200,0.68,1533544200
25.55,32.41,275,28.06,1533623400,0.75,1533619800
25.04,30.95,271,27.04,1533702600,0.75,1533706200
24.04,32.81,271,28.06,1533792600,0.74,1533803400
23.04,26.54,333,25.55,1533864600,0.7,1533879000
23.04,32.41,284,28.06,1533979800,0.75,1533965400
23.54,29.37,298,26.55,1534055400,0.75,1534051800
23.04,30.95,256,27.04,1534149000,0.75,1534138200
24.04,28.12,293,26.06,1534217400,0.75,1534224600
24.04,32.03,296,28.06,1534318200,0.75,1534311000
24.04,28.01,286,26.06,1534411800,0.75,1534397400
24.04,31.13,291,27.55,1534501800,0.75,1534483800
24.04,33.29,291,28.56,1534577400,0.75,1534570200
24.04,32.03,295,28.06,1534671000,0.75,1534656600
24.04,31.13,274,27.55,1534750200,0.67,1534750200
24.04,32.03,261,28.06,1534836600,0.69,1534829400
24.04,32.81,279,28.06,1534915800,0.67,1534923000
23.54,32.03,307,28.06,1535005800,0.72,1535005800
24.04,32.82,324,29.06,1535103000,0.74,1535088600
23.04,33.23,315,29.06,1535182200,0.62,1535182200
24.04,32.82,310,29.06,1535272200,0.71,1535268600
24.04,31.34,325,28.06,1535362200,0.72,1535347800
24.04,32.03,292,28.06,1535437800,0.74,1535437800
24.04,32.03,291,28.06,1535527800,0.67,1535527800
24.04,32.03,336,28.06,1535614200,0.68,1535614200
24.04,33.67,318,29.06,1535700600,0.61,1535697000
24.04,32.82,282,29.06,1535783400,0.44,1535783400
24.04,33.67,301,29.06,1535873400,0.44,1535869800
23.54,32.82,301,29.06,1535956200,0.41,1535956200
24.54,32.44,318,29.06,1536046200,0.37,1536042600
24.04,32.82,307,29.06,1536129000,0.4,1536129000
24.04,31.68,298,28.06,1536215400,0.51,1536215400
23.04,32.03,275,28.06,1536301800,0.5,1536301800
23.04,32.47,264,28.56,1536391800,0.39,1536388200
